configuration,source_revision,optimization,plot_label,n,mean_tps,stddev_tps,median_tps,min_tps,max_tps,ci_low_tps,ci_high_tps,incremental_speedup_pct,cumulative_speedup_pct,welch_p_value,output_sha256_12,holm_adjusted_p
baseline,7482967,Functional baseline,baseline,32,16.264650962014468,0.12829533902726617,16.298115882670047,15.919548343073378,16.408686640707405,16.218395559715642,16.310906364313293,nan,0.0,nan,68e10a82edac,nan
compiler-features,9978a9b,"RMSNorm, RoPE, dtype, and layout support",compiler,32,19.937625684538926,0.28311807724317684,19.831821285666397,19.546063746848123,20.38200087910446,19.835550732633074,20.039700636444778,22.582560985185385,22.582560985185385,2.9094886919909276e-45,68e10a82edac,2.618539822791835e-44
expanded-silu,10459b5,Expanded-SiLU recognition,SiLU graph,32,20.595536810406927,0.27924905331812805,20.547839970054735,20.255048303871312,21.115722236551854,20.494856790378677,20.696216830435176,3.299846913959237,26.627597840907224,1.8133601434313875e-13,1ab55f92178d,1.0880160860588325e-12
qkv-fusion,3fe072b,QKV projection fusion,QKV graph,32,20.831867233623914,0.29337737100854083,20.81785555956001,20.410258617196018,21.26397608863277,20.72609341187589,20.937641055371937,1.147483677616834,28.08062885748992,0.0016041122119581286,1ab55f92178d,0.004812336635874386
shared-lhs,83baa8d,Two-way shared-LHS matmul fusion,shared LHS,32,20.478884579961196,0.32062293003527037,20.482211968757767,20.049373351247418,20.903099908058756,20.363287686672205,20.594481473250188,-1.6944359797617325,25.91038459902353,2.2022033544290545e-05,808d3949246a,8.808813417716218e-05
rmsnorm-sharding,e534690,Decode RMSNorm runtime sharding,RMSNorm shard,32,23.26543740066576,0.2349926724295239,23.36595540941684,22.453810022863223,23.445032263885274,23.180713507475893,23.350161293855628,13.60695603231845,43.04295527153572,4.065006639737193e-43,808d3949246a,3.2520053117897545e-42
consumer-silu,a718685,SiLU fused into binary multiply,SiLU multiply,32,23.113419645828976,0.2963429502979831,23.064771609981335,22.602387310216912,23.60004508384734,23.006576618729284,23.22026267292867,-0.6534059610348586,42.10830407495108,0.026639843574110936,808d3949246a,0.05327968714822187
matmul-swiglu,ce99831,True matmul-SwiGLU epilogue,Dst SwiGLU,32,23.743795526375717,0.31057132725485276,23.92335608504402,23.1992266447853,24.05483491189512,23.631822622343712,23.85576843040772,2.727315517158879,45.984045903158545,1.1808975205151962e-11,2eb88f74c7d9,5.904487602575981e-11
generalized-epilogue,caa5428,Fallback-free prefill-capable epilogue,one path,32,23.697838854084146,0.2737163187882846,23.86309112052707,23.084043628583455,23.958886126781103,23.59915359757132,23.796524110596973,-0.19355234187609094,45.701490363547514,0.5323561549385067,2eb88f74c7d9,0.5323561549385067
prefill-trace,627a32d,Fixed-shape prefill trace,prefill trace,32,26.12268757802309,0.3936262378478698,26.065541713028374,25.419250351421592,26.672403456839362,25.98077018550459,26.26460497054159,10.232362279402697,60.610194704034704,7.914591261039727e-35,2eb88f74c7d9,5.5402138827278095e-34
current-stack,93c96b3,MLP specialization and generic wide-N planner,current stack,32,30.236415738633955,0.2413186650277201,30.22811888253869,29.795482603948333,30.71031888398866,30.149411081896577,30.323420395371333,15.747721777395185,85.90264131243926,1.9030993592171838e-45,d2848e7c8a40,1.903099359217184e-44
